Date,Total Death,Daily Death
1/23,25,8
1/24,41,16
1/25,56,15
1/26,80,24
1/27,106,26
1/28,132,26
1/29,170,38
1/20,213,43
1/31,259,46
2/1,304,45
2/2,362,58
2/3,426,64
2/4,492,66
2/5,565,73
2/6,638,73
2/7,724,86
2/8,813,89
2/9,910,97
2/10,1018,108
2/11,1115,97
2/12,1261,146
2/13,1383,122
2/14,1526,143
2/15,1669,143
2/16,1775,106
2/17,1873,98
2/18,2009,136
2/19,2126,117
2/20,2247,121
2/21,2360,113
2/22,2460,100
2/23,2618,158
2/24,2699,81
2/25,2763,64
2/26,2800,37
2/27,2858,58
2/28,2923,65
2/29,2977,54
3/1,3050,73
3/2,3117,67
3/3,3202,85
3/4,3285,83
3/5,3387,102
3/6,3494,107
3/7,3599,105
3/8,3827,228
3/9,4025,198
3/10,4296,271
3/11,4628,332
3/12,4981,353
3/13,5428,447
3/14,5833,405
3/15,6520,687
3/16,7162,642
3/17,7979,817
3/18,8951,972
3/19,10030,1079
3/20,11386,1356
3/21,13011,1625
3/22,14640,1629
3/23,16513,1873
3/24,18894,2381
3/25,21282,2388
3/26,24073,2791
3/27,27343,3270
3/28,30861,3518
3/29,34065,3204
3/30,37774,3709
3/31,42309,4535
4/1,47198,4889
4/2,53177,5979
4/3,58891,5714
4/4,64691,5800